Last updated time : February 07, 2024 | 11:08:18 PM
id,name,symbol,cmcRank,circulatingSupply,price,volume24h,marketCap,marketCapByTotalSupply
10603,Immutable,IMX,27,1355429364.3898141,2.249235307770841,73239067.56356512,3048679583.574959,4498470615.541682
22861,Celestia,TIA,28,162742157.886909,18.3789388152564,142307851.11301613,2991028162.466297,18777736610.91753
21794,Aptos,APT,29,338907302.2542187,8.720597330465248,99383708.05925806,2955474115.3133187,9417010169.076908
6535,NEAR Protocol,NEAR,30,1032271854.0,2.810434033532335,97047320.0135061,2901131950.339122,3304898995.3892827
3897,OKB,OKB,31,60000000.0,48.20871290984412,3805061.7405499,2892522774.590647,14462613872.953236
7226,Injective,INJ,32,88392222.33,32.357798869052864,84809014.1970024,2860177751.7427435,3235779886.9052863
8000,Lido DAO,LDO,33,890925308.6420745,2.9877420225788898,101528444.35436912,2661854983.6089935,2987742022.57889
2280,Filecoin,FIL,34,505861287.0,5.133615899062309,100328078.27605811,2596897545.6633215,10066715050.699936
20396,Kaspa,KAS,35,22602993567.531437,0.1146591912595143,40989694.83462715,2591640962.4971585,2591640962.4971585
4642,Hedera,HBAR,36,33665267272.946873,0.07504178695249993,99889597.1761707,2526301814.3954477,3752089347.6249967
26081,First Digital USD,FDUSD,37,2523269844.31,0.9996116629679076,3626757174.8778877,2522289965.1874924,2522289965.1874924
11841,Arbitrum,ARB,38,1275000000.0,1.8937703455368429,414944041.4589114,2414557190.5594745,18937703455.368427
328,Monero,XMR,39,18394681.32817925,131.55500730863824,303754218.0508001,2419912436.5686927,2419912436.5686927
4847,Stacks,STX,40,1438239300.822271,1.5410793146325394,45754818.85951911,2216440835.988768,2801682194.0019565
3635,Cronos,CRO,41,25263013692.0,0.08260975013105433,4834002.96658666,2086971248.6535244,2500019999.308796
3077,VeChain,VET,42,72714516834.0,0.028273579940690276,25967878.48866025,2055899704.5547678,2431104935.4214544
27075,Mantle,MNT,43,3166917893.0331407,0.6092101216792676,62896921.07222483,1929318434.9629693,3788870741.4377704
1518,Maker,MKR,44,922862.74123668,1952.0678821324975,37541780.66332377,1801490716.784877,1908402147.8077211
20947,Sui,SUI,45,1165931966.173846,1.5178855513040947,337831337.85527396,1769751285.2588553,15178855513.040947
5690,Render,RNDR,46,376146335.68794847,4.408581284162198,56322861.3771446,1658271695.6200812,2341132709.6252456
4157,THORChain,RUNE,47,339750356.0,4.483686974647339,122934900.7205527,1523334245.8289964,2162828233.996245
6719,The Graph,GRT,48,9391733989.298685,0.159080304208302,41421086.39377662,1494039900.0610845,1717109802.3775012
23149,Sei,SEI,49,2425000000.0,0.6062875887542153,144184484.92699742,1470247402.7289722,6062875887.542153
2563,TrueUSD,TUSD,50,1488456471.81,0.986457941758156,74013581.50243065,1468299707.5782993,1468299707.5782993
3602,Bitcoin SV,BSV,51,19628262.5,72.04191447968535,56401825.17045625,1414057608.409815,1414057608.409815
6892,MultiversX,EGLD,52,26544314.0,52.576247515239906,23304030.5662003,1395600422.9862478,1395871295.8134463
4030,Algorand,ALGO,53,8046288675.223237,0.1653434291839644,27615128.8544076,1330400961.765508,1330400961.765508
3155,Quant,QNT,54,12072738.0,104.24088482655328,12501698.43311692,1258472891.3991532,1551246550.7860162
7278,Aave,AAVE,55,14729822.58055432,84.1698743593874,98426039.54435839,1239807315.9413247,1346717989.7501984
8646,Mina,MINA,56,1048239812.8400393,1.158953852287978,30527175.98706693,1214861569.2125926,1302015037.9791107
25028,ORDI,ORDI,57,21000000.0,55.693523921155546,84874464.76739326,1169564002.3442664,1169564002.3442664
4558,Flow,FLOW,58,1486463326.0,0.738580382877056,26305122.00067426,1097872652.4497821,1097872652.3722947
5665,Helium,HNT,59,160875441.82421333,6.821754085421542,7937540.82850516,1097452702.508323,1097452702.508323
2586,Synthetix,SNX,60,304559063.6569139,3.3674276555041818,32534039.85672216,1025580613.6927505,1105166535.0542989
3513,Fantom,FTM,61,2803634835.5265927,0.363229750925374,34526657.84128504,1018363582.9940262,1153254459.1880624
12885,Astar,ASTR,62,5561375573.0,0.17900102026512515,19074193.24612122,995491901.644545,1500760233.8551815
6210,The Sandbox,SAND,63,2237731926.2233224,0.4390305019717779,60120280.12297071,982432570.8480988,1317091505.9153337
6783,Axie Infinity,AXS,64,137081855.21221596,7.091144738006137,47726055.85705052,972067276.2642243,1914609079.261657
7950,Flare,FLR,65,32587386516.26448,0.02972032576979274,30594941.25913185,968507743.2495317,2988669634.8655934
2416,Theta Network,THETA,66,1000000000.0,0.9640169382890645,10214669.76167507,964016938.2890645,964016938.2890645
2011,Tezos,XTZ,67,970111775.643131,0.9933585426856743,17184829.71315816,963668819.6950724,984411767.5993955
2087,KuCoin Token,KCS,68,96496827.28902875,9.823470452475672,1315563.17684599,947933731.631422,1414548578.1231914
28298,Beam,BEAM,69,51171331708.93359,0.017786956392737623,11173766.3766379,910182245.6651138,1119779664.646523
28683,SATS,1000SATS,70,2100000000000.0,0.0004345419185036519,23854869.34334223,912538028.857669,912538028.857669
4066,Chiliz,CHZ,71,8888290621.684032,0.10148994704253698,43115039.56117959,902072144.4933904,902132862.5101154
28932,Dymension,DYM,72,146000000.0,6.137800501153761,553619347.1289489,896118873.1684492,6137800501.153761
11092,Bitget Token,BGB,73,1400000000.0,0.6384069621717089,10682662.80908165,893769747.0403925,1276813924.343418
11156,dYdX (ethDYDX),ETHDYDX,74,309204656.1,2.827702102352362,37485881.1066671,874338656.1111091,1515772738.1468508
7334,Conflux,CFX,75,3743324901.08,0.22747198984485242,60284948.54520708,851501563.8844529,1130154754.335566
1966,Decentraland,MANA,76,1893095370.6427295,0.43607656108281867,41494410.45210876,825534519.0316855,956394098.8956988
7548,WEMIX,WEMIX,77,361573924.62121844,2.2752675038491,2403450.39946684,822677400.9298424,2166106101.092105
12220,Osmosis,OSMO,78,492590761.0,1.631246621655696,44083871.87665091,803537014.7400584,958159554.2636936
1376,Neo,NEO,79,70538831.0,11.318223643306808,30907828.53303343,798374264.7954233,1131822364.3306808
1765,EOS,EOS,80,1116545578.4704,0.7137521866961728,77636318.84766762,796936848.1791912,796936848.1791912
